iter	RMSE
135	379901.5708
136	379775.9359
137	379479.1026
138	379364.9291
139	379362.8145
140	379106.0838
141	379020.1133
142	378856.1921
143	378784.1279
144	378676.5116
145	378602.509
146	377930.3742
147	377679.1155
148	377595.0118
149	377421.6212
150	377195.0301
151	376974.928
152	376710.5425
153	376614.7145
154	376570.6096
155	376504.3591
156	376421.2724
157	376189.5361
158	376015.5131
159	375922.4443
160	375522.4531
161	375358.4038
162	374960.5816
163	374751.47
164	374631.4371
165	374389.9358
166	374149.9591
167	373867.3002
168	373501.3357
169	372744.1438
170	372538.051
171	372095.2213
172	372017.5809
173	371747.1548
174	371624.7308
175	371568.041
176	371414.5628
177	371330.1252
178	371106.5268
179	370937.8484
180	370804.7134
181	370456.3049
182	370319.7198
183	370229.2367
184	370086.2507
185	369958.5267
186	369880.4196
187	369800.6807
188	369672.613
189	369545.3868
190	369428.5555
191	369236.5243
192	369146.4802
193	369056.1664
194	368971.828
195	368907.5185
196	368830.2778
197	368659.0595
198	368551.3892
199	368200.4933
200	367964.0511
201	367618.3799
202	367423.8117
203	367345.6385
204	367053.8129
205	366997.9005
206	366781.3904
207	366664.1136
208	366495.732
209	366187.4037
210	365888.9931
211	365607.8399
212	365446.6976
213	365361.7963
214	365293.4462
215	365130.438
216	364985.265
217	364937.546
218	364837.3427
219	364769.7905
220	364486.6839
221	364382.2436
222	364190.892
223	363896.8632
224	363746.9246
225	363566.1054
226	363423.5589
227	363041.1871
228	362991.216
229	362811.9138
230	362726.7367
231	362661.868
232	362383.3391
233	362253.7058
234	362144.5125
235	361876.5324
236	361776.1002
237	361550.35
238	361491.8505
239	361146.3398
240	361099.2796
241	360840.7701
242	360777.7588
243	360711.5597
244	360484.6318
245	360215.5901
246	359947.8702
247	359684.5078
248	359476.2553
249	359326.0639
250	359083.0369
251	358760.0286
252	358711.8457
253	358523.7603
254	358437.5369
255	358102.6576
256	358022.7844
257	357887.1236
258	357495.0149
259	357431.4487
260	357299.116
261	357087.9686
262	356960.8267
263	356899.2546
264	356811.3452
265	356760.4625
266	356533.8201
267	356477.3278
268	356444.4446
269	356329.6538
270	356024.4218
271	355807.1419
272	355439.7414
273	355301.4689
274	355069.7244
275	355018.4015
276	354935.2997
277	354811.9319
278	354740.6191
279	354544.2753
280	354466.3879
281	354293.6165
282	354227.5231
283	354155.6307
284	353961.608
285	353690.3363
286	353627.2065
287	353548.2176
288	353373.4074
289	353178.0828
290	352955.0179
291	352760.1025
292	352656.6985
293	352557.7824
294	352477.241
295	352232.0203
296	352156.1838
297	352102.3973
298	351937.0162
299	351814.618
300	351748.1276
301	351664.3602
302	351483.4052
303	351328.5677
304	351160.5842
305	351069.8502
306	351015.7051
307	350971.8223
308	350851.0133
309	350736.5479
310	350677.2276
311	350637.8964
312	350235.0718
313	350182.3786
314	350029.0612
315	349861.8519
316	349808.1709
317	349727.2318
318	349495.3746
319	349421.4799
320	349189.8887
321	349050.0654
322	348830.3371
323	348754.6413
324	348470.4126
325	348336.8252
326	348284.4281
327	348180.8177
328	348099.4
329	347946.9829
330	347750.4292
331	347716.0145
332	347512.8832
333	347267.8473
334	347217.6788
335	347155.3804
336	347045.0709
337	347011.8782
338	346970.8755
339	346899.8497
340	346744.9733
341	346504.5659
342	346440.1187
343	346395.0756
344	346318.4892
345	346211.2338
346	346151.8938
347	346027.6577
348	345847.4078
349	345787.6749
350	345639.1902
351	345447.0998
352	345343.0867
353	345282.7345
354	345201.5586
355	344849.699
356	344710.1203
357	344623.9125
358	344411.553
359	344353.7437
360	344196.7985
361	344115.5428
362	343987.0137
363	343916.1195
364	343799.9392
365	343730.047
366	343616.8391
367	343454.5615
368	343363.6736
369	343273.8346
370	343093.7646
371	342967.1385
372	342846.0064
373	342712.4874
374	342661.1526
375	342588.1963
376	342514.7839
377	342350.2266
378	342144.8211
